layer,x1_mm,y1_mm,x2_mm,y2_mm,width_mm,length_mm,net
F.Cu,172.776,152.974,173.0,152.75,0.1,0.32,TAC_SHIFT_R
F.Cu,235.949,131.301,235.949,104.375,0.1,26.93,TAC_SHIFT_R
F.Cu,235.949,104.375,232.912,101.338,0.1,4.29,TAC_SHIFT_R
F.Cu,172.776,160.62,172.776,152.974,0.1,7.65,TAC_SHIFT_R
F.Cu,231.898,152.176,231.898,135.352,0.1,16.82,TAC_SHIFT_R
F.Cu,231.898,135.352,235.949,131.301,0.1,5.73,TAC_SHIFT_R
F.Cu,226.5,63.75,226.825,63.425,0.1,0.46,TAC_SHIFT_R
F.Cu,230.101,63.526,230.0,63.425,0.1,0.14,TAC_SHIFT_R
F.Cu,226.5,101.0,226.5,63.75,0.1,37.25,TAC_SHIFT_R
F.Cu,226.838,101.338,226.5,101.0,0.1,0.48,TAC_SHIFT_R
F.Cu,226.825,63.425,230.0,63.425,0.1,3.18,TAC_SHIFT_R
F.Cu,119.0,107.0,117.25,105.25,0.1,2.47,TAC_SHIFT_L
F.Cu,152.456,147.044,152.0,147.5,0.1,0.64,TAC_SHIFT_L
F.Cu,152.0,147.5,120.0,147.5,0.1,32.0,TAC_SHIFT_L
F.Cu,120.0,147.5,119.0,146.5,0.1,1.41,TAC_SHIFT_L
F.Cu,152.456,145.38,152.456,147.044,0.1,1.66,TAC_SHIFT_L
F.Cu,102.0,99.0,102.0,73.0,0.1,26.0,TAC_SHIFT_L
F.Cu,117.25,105.25,108.25,105.25,0.1,9.0,TAC_SHIFT_L
F.Cu,108.25,105.25,102.0,99.0,0.1,8.84,TAC_SHIFT_L
F.Cu,119.0,146.5,119.0,107.0,0.1,39.5,TAC_SHIFT_L
F.Cu,213.25,80.5,216.5,80.5,0.2,3.25,island_005
F.Cu,147.75,133.25,147.5,133.5,0.2,0.35,island_006
F.Cu,149.5,132.75,149.0,133.25,0.2,0.71,island_006
F.Cu,148.0,136.75,149.4,136.75,0.2,1.4,island_006
F.Cu,147.5,136.25,148.0,136.75,0.2,0.71,island_006
F.Cu,149.0,133.25,147.75,133.25,0.2,1.25,island_006
F.Cu,147.5,133.5,147.5,136.25,0.2,2.75,island_006
F.Cu,149.4,140.4,149.4,138.45,0.2,1.95,island_007
